Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. cadans,Max. cadans,Gemiddelde snelheid,Max. snelheid,Stijging,Hoogteverlies,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. GCT balans,Gem. cadans,Max. cadans,Normalized Power® (NP®),L/R-balans,Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Vermogen,Max. vermogen,Totaal slagen,Gemiddelde Swolf,Gem. slagsnelheid
cycling,2017-07-09 15:40:34,false,"Soest Austerlitz","54,15","1.433","2:59:46","--","--","0,0","--","--","18,1","33,0","111","102","0,00","0,0","0,0","--","--","67","111","--","--","0,0","--","--","--","10164","--","--"
cycling,2017-07-08 16:12:11,false,"Flevo","64,16","1.687","3:38:47","--","--","0,0","--","--","17,6","32,4","89","92","0,00","0,0","0,0","--","--","66","101","--","--","0,0","--","--","--","12622","--","--"
cycling,2017-07-02 11:21:20,false,"Amsterdam-Rijnkanaal","88,99","2.376","5:01:04","--","--","0,0","--","--","17,7","31,9","167","176","0,00","0,0","0,0","--","--","69","116","--","--","0,0","--","--","--","17861","--","--"
cycling,2017-06-25 11:05:03,false,"Zeeburg","83,93","2.307","4:41:22","--","--","0,0","--","--","17,9","31,9","157","174","0,00","0,0","0,0","--","--","70","112","--","--","0,0","--","--","--","17163","--","--"
cycling,2017-06-18 15:20:19,false,"Driebergen","62,19","1.705","3:24:10","--","--","0,0","--","--","18,3","36,6","152","141","0,00","0,0","0,0","--","--","66","112","--","--","0,0","--","--","--","11601","--","--"
cycling,2017-06-17 15:48:29,false,"Stichtse Brug","70,44","1.901","3:53:55","--","--","0,0","--","--","18,1","33,9","123","120","0,00","0,0","0,0","--","--","68","104","--","--","0,0","--","--","--","13737","--","--"
cycling,2017-06-13 19:47:18,false,"Arkemheen","18,16","554","57:45","--","--","0,0","--","--","18,9","30,5","23","22","0,00","0,0","0,0","--","--","65","92","--","--","0,0","--","--","--","3297","--","--"
cycling,2017-06-11 10:32:44,false,"Huizen Naarden","53,41","1.455","3:02:11","--","--","0,0","--","--","17,6","32,9","109","92","0,00","0,0","0,0","--","--","65","110","--","--","0,0","--","--","--","10003","--","--"
cycling,2017-06-10 18:16:22,false,"Doorn","54,33","1.475","3:02:25","--","--","0,0","--","--","17,9","42,2","123","120","0,00","0,0","0,0","--","--","64","105","--","--","0,0","--","--","--","9686","--","--"
cycling,2017-06-05 11:10:36,false,"Loenen","76,18","2.052","4:22:13","--","--","0,0","--","--","17,4","35,1","144","125","0,00","0,0","0,0","--","--","65","105","--","--","0,0","--","--","--","14889","--","--"
cycling,2017-06-03 13:40:06,false,"Kootwijk","78,01","2.072","4:56:51","--","--","0,0","--","--","15,8","38,1","121","129","0,00","0,0","0,0","--","--","66","105","--","--","0,0","--","--","--","14817","--","--"
cycling,2017-06-01 19:29:46,false,"Arkemheen","25,99","828","1:11:08","--","--","0,0","--","--","21,9","31,0","34","35","0,00","0,0","0,0","--","--","72","102","--","--","0,0","--","--","--","4832","--","--"
cycling,2017-05-28 16:09:47,false,"Loosdrecht Ankeveen","79,91","2.064","4:31:29","--","--","0,0","--","--","17,7","31,9","104","97","0,00","0,0","0,0","--","--","67","103","--","--","0,0","--","--","--","15643","--","--"
cycling,2017-05-27 19:09:13,false,"Zeewolde Harderwijk","65,90","1.880","3:10:28","--","--","0,0","--","--","20,8","41,8","84","92","0,00","0,0","0,0","--","--","69","109","--","--","0,0","--","--","--","12369","--","--"
cycling,2017-05-21 11:22:15,false,"Maarn Ederveen","89,33","2.558","4:54:20","--","--","0,0","--","--","18,2","34,3","197","178","0,00","0,0","0,0","--","--","66","108","--","--","0,0","--","--","--","16287","--","--"
cycling,2017-05-14 09:44:40,true,"Zeeburg - Muiden","103,92","2.903","5:40:23","--","--","0,0","--","--","18,3","33,5","212","233","0,00","0,0","0,0","--","--","66","104","--","--","0,0","--","--","--","18902","--","--"
cycling,2017-05-07 13:11:44,false,"Eemnes-Binnen","30,77","803","1:41:10","--","--","0,0","--","--","18,2","30,8","42","48","0,00","0,0","0,0","--","--","66","104","--","--","0,0","--","--","--","5967","--","--"
cycling,2017-05-06 17:39:12,false,"Eembrugge - Spakenburg","21,36","638","59:05","--","--","0,0","--","--","21,7","31,8","27","24","0,00","0,0","0,0","--","--","76","107","--","--","0,0","--","--","--","4223","--","--"
cycling,2017-05-04 16:33:05,false,"Ermelo Harderwijk","62,11","1.764","3:21:02","--","--","0,0","--","--","18,5","37,3","107","94","0,00","0,0","0,0","--","--","67","104","--","--","0,0","--","--","--","11558","--","--"
cycling,2017-05-02 14:19:14,false,"Harderwijk","65,24","1.837","3:20:58","--","--","0,0","--","--","19,5","37,1","106","106","0,00","0,0","0,0","--","--","68","117","--","--","0,0","--","--","--","12578","--","--"
cycling,2017-04-30 12:57:11,false,"Veenendaal","58,06","1.682","3:21:11","--","--","0,0","--","--","17,3","41,8","152","117","0,00","0,0","0,0","--","--","71","114","--","--","0,0","--","--","--","12255","--","--"
cycling,2017-04-28 15:47:40,false,"Treek - Soesterberg","36,35","1.019","2:07:40","--","--","0,0","--","--","17,1","36,1","110","126","0,00","0,0","0,0","--","--","65","104","--","--","0,0","--","--","--","6529","--","--"
cycling,2017-04-25 14:47:07,false,"Stichtse Brug vanaf Naarden","63,79","1.805","3:38:02","--","--","0,0","--","--","17,6","42,4","160","163","0,00","0,0","0,0","--","--","68","110","--","--","0,0","--","--","--","13368","--","--"
cycling,2017-04-17 12:00:35,false,"Amersfoort Fietsen","35,13","937","2:04:26","--","--","0,0","--","--","16,9","49,2","65","75","0,00","0,0","0,0","--","--","68","110","--","--","0,0","--","--","--","7483","--","--"
cycling,2017-04-15 15:09:59,false,"Soest - Den Dolder","34,97","973","2:17:45","--","--","0,0","--","--","15,2","35,1","102","108","0,00","0,0","0,0","--","--","66","112","--","--","0,0","--","--","--","7214","--","--"
cycling,2017-04-11 13:06:43,false,"Blaricum Laren","31,87","851","1:56:19","--","--","0,0","--","--","16,4","91,8","57","57","0,00","0,0","0,0","--","--","64","100","--","--","0,0","--","--","--","6319","--","--"
cycling,2017-04-09 12:49:47,false,"Zeeburg Weesp Hilversum","83,27","2.320","4:27:07","--","--","0,0","--","--","18,7","37,7","188","174","0,00","0,0","0,0","--","--","70","124","--","--","0,0","--","--","--","15705","--","--"
cycling,2017-04-03 14:58:17,false,"Harselaar Barneveld","52,63","1.376","2:49:15","--","--","0,0","--","--","18,7","41,1","62","51","0,00","0,0","0,0","--","--","66","108","--","--","0,0","--","--","--","9737","--","--"
cycling,2017-04-02 13:23:50,false,"Weesp Loosdrecht","83,19","2.149","4:52:59","--","--","0,0","--","--","17,0","34,9","136","149","0,00","0,0","0,0","--","--","68","109","--","--","0,0","--","--","--","16730","--","--"
cycling,2017-03-30 10:44:00,false,"Muiden Weesp","67,23","1.788","3:52:14","--","--","0,0","--","--","17,4","34,9","132","123","0,00","0,0","0,0","--","--","69","108","--","--","0,0","--","--","--","13907","--","--"
cycling,2017-03-26 17:13:28,false,"Amersfoort Fietsen","17,00","431","1:00:51","--","--","0,0","--","--","16,8","30,3","36","26","0,00","0,0","0,0","--","--","66","99","--","--","0,0","--","--","--","3432","--","--"
cycling,2017-03-23 06:13:43,false,"Amersfoort Fietsen","5,22","144","17:12","--","--","0,0","--","--","18,2","33,0","16","7","0,00","0,0","0,0","--","--","70","100","--","--","0,0","--","--","--","994","--","--"
cycling,2017-03-21 09:42:21,false,"Amersfoort Fietsen","46,64","1.252","2:43:13","--","--","0,0","--","--","17,1","37,3","102","120","0,00","0,0","0,0","--","--","70","104","--","--","0,0","--","--","--","9995","--","--"
cycling,2017-03-14 10:38:27,false,"Laren Bussum","42,70","1.094","2:41:47","--","--","0,0","--","--","15,8","36,6","94","90","0,00","0,0","0,0","--","--","64","102","--","--","0,0","--","--","--","8292","--","--"
cycling,2017-03-12 12:25:10,false,"Zeewolde Harderwijk Ermerlo","78,65","2.065","4:25:43","--","--","0,0","--","--","17,8","37,0","123","124","0,00","0,0","0,0","--","--","70","115","--","--","0,0","--","--","--","15991","--","--"
cycling,2017-03-09 10:31:05,false,"Almere Naarden Baarn","64,72","1.826","3:59:15","--","--","0,0","--","--","16,2","47,0","155","170","0,00","0,0","0,0","--","--","68","108","--","--","0,0","--","--","--","14609","--","--"
cycling,2017-03-04 11:48:55,false,"Woudenberg","44,64","1.113","2:43:51","--","--","0,0","--","--","16,3","39,6","57","67","0,00","0,0","0,0","--","--","68","107","--","--","0,0","--","--","--","8951","--","--"
cycling,2017-03-01 11:11:57,false,"Almere Naarden","64,86","1.646","4:04:31","--","--","0,0","--","--","15,9","42,4","138","136","0,00","0,0","0,0","--","--","67","108","--","--","0,0","--","--","--","14692","--","--"
cycling,2017-02-24 08:54:32,false,"Laren Hilversum","35,37","883","2:07:30","--","--","0,0","--","--","16,6","32,2","56","55","0,00","0,0","0,0","--","--","69","96","--","--","0,0","--","--","--","7735","--","--"
cycling,2017-02-21 09:27:02,false,"Blaricum Nijkerk","50,47","1.291","2:54:41","--","--","0,0","--","--","17,3","40,9","71","81","0,00","0,0","0,0","--","--","68","117","--","--","0,0","--","--","--","11123","--","--"
cycling,2017-02-19 15:08:02,false,"Holkerveen Hooglanderveen","22,38","548","1:23:44","--","--","0,0","--","--","16,0","28,5","32","34","0,00","0,0","0,0","--","--","64","111","--","--","0,0","--","--","--","4500","--","--"
cycling,2017-02-14 12:49:58,false,"Nekkeveld","29,00","774","1:41:05","--","--","0,0","--","--","17,2","32,6","39","39","0,00","0,0","0,0","--","--","67","106","--","--","0,0","--","--","--","6073","--","--"
cycling,2016-12-18 12:21:33,false,"Stichtse brug","46,99","1.279","2:27:38","--","--","0,0","--","--","19,1","45,7","63","65","0,00","0,0","0,0","--","--","71","116","--","--","0,0","--","--","--","9334","--","--"
cycling,2016-12-04 20:38:46,false,"Amersfoort Fietsen","13,10","298","46:55","--","--","0,0","--","--","16,8","27,8","6","3","0,00","0,0","0,0","--","--","72","106","--","--","0,0","--","--","--","--","--","--"
cycling,2016-11-27 14:48:35,false,"Soestduinen","21,38","577","1:13:05","--","--","0,0","--","--","17,6","36,6","52","58","0,00","0,0","0,0","--","--","72","113","--","--","0,0","--","--","--","4191","--","--"
cycling,2016-11-22 13:08:58,false,"Putten Fietsen","55,28","1.470","3:03:47","--","--","0,0","--","--","18,0","37,0","70","77","0,00","0,0","0,0","--","--","73","104","--","--","0,0","--","--","--","11669","--","--"
cycling,2016-11-13 10:23:01,false,"Bunschoten-Spakenburg Fietsen","5,66","128","17:36","--","--","0,0","--","--","19,3","24,3","2","5","0,00","0,0","0,0","--","--","70","79","--","--","0,0","--","--","--","--","--","--"
cycling,2016-11-13 09:33:20,false,"Bunschoten","16,17","408","44:37","--","--","0,0","--","--","21,7","30,1","8","9","0,00","0,0","0,0","--","--","75","107","--","--","0,0","--","--","--","--","--","--"
cycling,2016-10-30 11:07:51,false,"Almere - Hollandse brug - Huizen","67,59","1.997","3:26:31","--","--","0,0","--","--","19,6","54,0","115","106","0,00","0,0","0,0","--","--","75","111","--","--","0,0","--","--","--","13889","--","--"
mountain_biking,2016-10-23 14:05:54,false,"Harderwijk Ermelo","68,30","1.891","3:50:53","--","--","0,0","--","--","17,7","49,2","101","92","0,00","0,0","0,0","--","--","72","119","--","--","0,0","--","--","--","13714","--","--"
cycling,2016-10-16 15:13:44,false,"Scherpenzeel","52,49","1.493","2:48:51","--","--","0,0","--","--","18,7","42,4","90","93","0,00","0,0","0,0","--","--","70","106","--","--","0,0","--","--","--","9876","--","--"
cycling,2016-10-09 11:01:09,false,"Voorthuizen","57,60","1.478","3:15:23","--","--","0,0","--","--","17,7","34,5","43","41","0,00","0,0","0,0","--","--","71","106","--","--","0,0","--","--","--","11880","--","--"
cycling,2016-10-08 16:27:24,false,"Putten Voorthuizen","50,31","1.302","2:41:34","--","--","0,0","--","--","18,7","36,2","43","43","0,00","0,0","0,0","--","--","74","104","--","--","0,0","--","--","--","11111","--","--"
cycling,2016-10-04 17:38:54,false,"Flevoland kort","47,78","1.108","2:43:43","--","--","0,0","--","--","17,5","38,1","65","71","0,00","0,0","0,0","--","--","72","108","--","--","0,0","--","--","--","--","--","--"
road_biking,2016-10-01 14:58:34,false,"Groenekan Wegwielrennen","13,79","384","43:05","--","--","0,0","--","--","19,2","30,9","50","40","0,00","0,0","0,0","--","--","63","91","--","--","0,0","--","--","--","2338","--","--"
road_biking,2016-10-01 13:45:08,false,"Utrecht Wegwielrennen","8,50","241","26:28","--","--","0,0","--","--","19,3","33,2","21","16","0,00","0,0","0,0","--","--","64","95","--","--","0,0","--","--","--","1352","--","--"
